歌星id,歌星名称
"1908","Bangles"
"1909","BLONDIE"
"1910","BODIES WITHOUT ORGANS"
"1911","BOYZ II MEN"
"1912","BUONO"
"1913","BY2"
"1914","Coldplay"
"1915","GIRLS ALOUD"
"1916","Groove Coverage"
"1917","High School Musical"
"1918","Kaiser Chiefs"
"1919","Lifehouse"
"1920","Linkin Park"
"1921","LMNT"
"1922","Maroon5"
"1923","McFly"
"1924","MICHAEL LEARNS TO ROCK"
"1925","New Kids On The Block feat. Ne"
"1926","O Zone"
"1927","ONE REPUBLIC"
"1928","PAULA COLE"
"1929","SeeYa"
"1930","SG WANNA BE"
"1931","Shinedown"
"1932","SPEED"
"1933","SPICE GIRLS"
"1934","SS501"
"1935","Sugababes"
"1936","SUPER JUNIOR"
"1937","THE ANIMALS"
"1938","THE BEATLES"
"1939","THE CALLING"
"1940","THE TING TINGS"
"1941","US5"
"1942","Wham"
"1943","Wonder Girls"
"1944","红脉组合"
"1945","巧千金"
"1946","少女时代"
"1947","乡村二人组"
"1948","Top Twinz"
"1949","阿宝"
"1950","阿华"
"1951","阿穆隆"
"1952","阿唯"
"1953","阿伟"
"1954","安东阳"
"1955","安旭"
"1956","巴郎百川"
"1957","百慕三石"
"1958","苍茫"
"1959","常皓然"
"1960","常健鸿"
"1961","陈国华"
"1962","陈宏"
"1963","陈乃荣"
"1964","陈小涛"
"1965","程飞鸣"
"1966","大哲"
"1967","单良"
"1968","丁汀"
"1969","丁于"
"1970","东方骏"
"1971","东学"
"1972","杜镇杰"
"1973","尔萨"
"1974","范思威"
"1975","冯伟军"
"1976","冯志孝"
"1977","高登"
"1978","高峰"
"1979","高昊"
"1980","高浚"
"1981","根呷"
"1982","耿宁"
"1983","耿为华"
"1984","巩汉林"
"1985","苟伟"
"1986","顾峰"
"1987","顾海滨"
"1988","顾建华"
"1989","顾凯"
"1990","顾晓宇"
"1991","管维嘉"
"1992","广智"
"1993","郭顶"
"1994","郭应龙"
"1995","韩超"
"1996","韩东"
"1997","韩信"
"1998","浩瀚"
"1999","皓天"
"2000","洪一平"
"2001","华少翌"
"2002","黄新德"
"2003","黄鑫"
"2004","吉杰"
"2005","贾皓然"
"2006","康然"
"2007","柯羽"
"2008","雷诺儿"
"2009","冷漠"
"2010","李风持"
"2011","李贵府"
